experiment,run,dataset,answer_relevancy,faithfulness,context_precision,context_recall,answer_correctness
threshold_0.55_topk_final_7,r1,triviaqa,0.80068,0.786833,0.814212,0.84,0.499619
threshold_0.55_topk_final_7,r4,hotpotqa,0.570623,0.659306,0.627557,0.745,0.399942
threshold_0.55_topk_final_7,r4,ms_marco,0.703961,0.754107,0.496167,0.576354,0.30993
threshold_0.55_topk_final_7,r4,natural_questions,0.724835,0.776977,0.661715,0.809097,0.395767
threshold_0.55_topk_final_7,r4,triviaqa,0.809589,0.786581,0.830811,0.885,0.488376
threshold_0.5_topk_final_10,r1,hotpotqa,0.581584,0.672293,0.639686,0.785,0.413276
threshold_0.5_topk_final_10,r1,ms_marco,0.703676,0.722928,0.494303,0.589824,0.315422
threshold_0.5_topk_final_10,r1,natural_questions,0.730134,0.795854,0.652761,0.849167,0.438343
threshold_0.5_topk_final_10,r1,triviaqa,0.81667,0.791278,0.818918,0.87,0.5201
threshold_0.5_topk_final_10,r4,hotpotqa,0.600127,0.684534,0.624821,0.815,0.429665
threshold_0.5_topk_final_10,r4,ms_marco,0.719936,0.770904,0.508542,0.592337,0.290288
threshold_0.5_topk_final_10,r4,natural_questions,0.728089,0.793537,0.645979,0.878417,0.396175
threshold_0.5_topk_final_10,r4,triviaqa,0.814855,0.779601,0.829385,0.865,0.519258
threshold_0.5_topk_final_3,r1,hotpotqa,0.56451,0.632986,0.659167,0.755,0.40502
threshold_0.5_topk_final_3,r1,ms_marco,0.700728,0.762331,0.49,0.511042,0.318991
threshold_0.5_topk_final_3,r1,natural_questions,0.709752,0.773165,0.673333,0.728,0.399043
threshold_0.5_topk_final_3,r1,triviaqa,0.754597,0.729321,0.82,0.835,0.498368
threshold_0.5_topk_final_3,r4,hotpotqa,0.594738,0.672313,0.66375,0.785,0.415682
threshold_0.5_topk_final_3,r4,ms_marco,0.699026,0.742336,0.513333,0.542085,0.304736
threshold_0.5_topk_final_3,r4,natural_questions,0.728615,0.770705,0.71125,0.775972,0.400151
threshold_0.5_topk_final_3,r4,triviaqa,0.782828,0.740571,0.847083,0.86,0.483229
threshold_0.5_topk_final_5,r1,hotpotqa,0.591096,0.670937,0.603083,0.74,0.390694
threshold_0.5_topk_final_5,r1,ms_marco,0.702084,0.755551,0.509139,0.568049,0.305226
threshold_0.5_topk_final_5,r1,natural_questions,0.725811,0.80593,0.656118,0.780417,0.405736
threshold_0.5_topk_final_5,r1,triviaqa,0.801326,0.79731,0.84166,0.885,0.507021
threshold_0.5_topk_final_5,r4,hotpotqa,0.633588,0.734208,0.649889,0.82,0.441738
threshold_0.5_topk_final_5,r4,ms_marco,0.705871,0.74877,0.505542,0.563861,0.293293
threshold_0.5_topk_final_5,r4,natural_questions,0.721151,0.761897,0.671403,0.799667,0.410342
threshold_0.5_topk_final_5,r4,triviaqa,0.806537,0.766619,0.836299,0.875,0.50621
threshold_0.5_topk_final_7,r1,hotpotqa,0.559977,0.639456,0.64808,0.72,0.367794
threshold_0.5_topk_final_7,r1,ms_marco,0.711557,0.767612,0.499964,0.576944,0.291493
threshold_0.5_topk_final_7,r1,natural_questions,0.721227,0.773283,0.64868,0.823917,0.398019
threshold_0.5_topk_final_7,r1,triviaqa,0.813521,0.761273,0.831652,0.86,0.517383
threshold_0.5_topk_final_7,r4,hotpotqa,0.638062,0.719025,0.616927,0.795,0.422446
threshold_0.5_topk_final_7,r4,ms_marco,0.703827,0.744314,0.516393,0.5772,0.305638
threshold_0.5_topk_final_7,r4,natural_questions,0.745732,0.828347,0.674633,0.843194,0.40519
threshold_0.5_topk_final_7,r4,triviaqa,0.821347,0.820206,0.835784,0.885,0.509391
threshold_0.65_topk_final_10,r1,hotpotqa,0.308651,0.537353,0.442917,0.415,0.271074
threshold_0.65_topk_final_10,r1,ms_marco,0.622175,0.72442,0.444286,0.478325,0.336991
threshold_0.65_topk_final_10,r1,natural_questions,0.591612,0.681701,0.547673,0.627917,0.32762
threshold_0.65_topk_final_10,r1,triviaqa,0.718178,0.718605,0.745612,0.775,0.447856
threshold_0.65_topk_final_10,r4,hotpotqa,0.442478,0.525805,0.539235,0.58,0.324546
threshold_0.65_topk_final_10,r4,ms_marco,0.689549,0.739349,0.488517,0.539763,0.267338
threshold_0.65_topk_final_10,r4,natural_questions,0.67467,0.741317,0.604735,0.806667,0.382298
threshold_0.65_topk_final_10,r4,triviaqa,0.787704,0.734415,0.810297,0.85,0.50693
threshold_0.65_topk_final_3,r1,hotpotqa,0.282806,0.460556,0.420417,0.41,0.250387
threshold_0.65_topk_final_3,r1,ms_marco,0.630501,0.735302,0.455,0.431042,0.317707
threshold_0.65_topk_final_3,r1,natural_questions,0.586017,0.665963,0.566667,0.577083,0.331927
threshold_0.65_topk_final_3,r1,triviaqa,0.679709,0.726908,0.732083,0.74,0.4202
threshold_0.65_topk_final_3,r4,hotpotqa,0.438096,0.525131,0.537083,0.585,0.33678
threshold_0.65_topk_final_3,r4,ms_marco,0.677522,0.734035,0.485417,0.50423,0.28997
threshold_0.65_topk_final_3,r4,natural_questions,0.669884,0.737479,0.634583,0.697083,0.352655
threshold_0.65_topk_final_3,r4,triviaqa,0.767899,0.73895,0.819167,0.85,0.481623
threshold_0.65_topk_final_5,r1,hotpotqa,0.310685,0.510577,0.452917,0.42,0.271947
threshold_0.65_topk_final_5,r1,ms_marco,0.631848,0.726255,0.454319,0.470749,0.325504
threshold_0.65_topk_final_5,r1,natural_questions,0.59822,0.700242,0.584257,0.637583,0.33505
threshold_0.65_topk_final_5,r1,triviaqa,0.711935,0.71856,0.753222,0.78,0.446408
threshold_0.65_topk_final_5,r4,hotpotqa,0.429977,0.523933,0.520333,0.59,0.329839
threshold_0.65_topk_final_5,r4,ms_marco,0.670368,0.736162,0.479028,0.539643,0.291967
threshold_0.65_topk_final_5,r4,natural_questions,0.675469,0.751759,0.624132,0.747714,0.371055
threshold_0.65_topk_final_5,r4,triviaqa,0.759064,0.742923,0.817729,0.85,0.487607
threshold_0.65_topk_final_7,r1,hotpotqa,0.306976,0.525895,0.417667,0.42,0.274512
threshold_0.65_topk_final_7,r1,ms_marco,0.63715,0.74965,0.454098,0.479375,0.323809
threshold_0.65_topk_final_7,r1,natural_questions,0.561221,0.664515,0.558624,0.637361,0.324552
threshold_0.65_topk_final_7,r1,triviaqa,0.703986,0.703808,0.732984,0.745,0.457589
threshold_0.65_topk_final_7,r4,hotpotqa,0.444138,0.565042,0.518909,0.58,0.315132
threshold_0.65_topk_final_7,r4,ms_marco,0.676214,0.7391,0.478797,0.532105,0.276815
threshold_0.65_topk_final_7,r4,natural_questions,0.68682,0.753335,0.636617,0.7675,0.360266
threshold_0.65_topk_final_7,r4,triviaqa,0.773426,0.783728,0.799245,0.83,0.472309
threshold_0.6_topk_final_10,r1,hotpotqa,0.390442,0.508947,0.504075,0.53,0.303151
threshold_0.6_topk_final_10,r1,ms_marco,0.66914,0.719903,0.466212,0.53371,0.323067
threshold_0.6_topk_final_10,r1,natural_questions,0.641634,0.744259,0.606467,0.755417,0.355979
threshold_0.6_topk_final_10,r1,triviaqa,0.769827,0.736081,0.787278,0.825,0.476598
threshold_0.6_topk_final_10,r4,hotpotqa,0.523703,0.600681,0.616684,0.71,0.368751
threshold_0.6_topk_final_10,r4,ms_marco,0.693312,0.750786,0.503271,0.568182,0.284351
threshold_0.6_topk_final_10,r4,natural_questions,0.698993,0.76882,0.641077,0.842917,0.385796
threshold_0.6_topk_final_10,r4,triviaqa,0.794495,0.786925,0.822732,0.89,0.492197
threshold_0.6_topk_final_3,r1,hotpotqa,0.422311,0.598847,0.532917,0.57,0.343026
threshold_0.6_topk_final_3,r1,ms_marco,0.657259,0.74517,0.490833,0.496052,0.331809
threshold_0.6_topk_final_3,r1,natural_questions,0.632406,0.739886,0.635,0.68675,0.353137
threshold_0.6_topk_final_3,r1,triviaqa,0.72822,0.752806,0.782917,0.8,0.465546
threshold_0.6_topk_final_3,r4,hotpotqa,0.514629,0.611324,0.617917,0.69,0.374075
threshold_0.6_topk_final_3,r4,ms_marco,0.709356,0.755107,0.49375,0.526305,0.292102
threshold_0.6_topk_final_3,r4,natural_questions,0.702735,0.747263,0.674167,0.760333,0.377838
threshold_0.6_topk_final_3,r4,triviaqa,0.767843,0.719522,0.823333,0.845,0.498136
threshold_0.6_topk_final_5,r1,hotpotqa,0.564572,0.612782,0.631437,0.745,0.392989
threshold_0.6_topk_final_5,r1,ms_marco,0.688307,0.729338,0.510729,0.565657,0.300721
threshold_0.6_topk_final_5,r1,natural_questions,0.722107,0.799941,0.663493,0.807917,0.410907
threshold_0.6_topk_final_5,r1,triviaqa,0.802758,0.81803,0.845069,0.88,0.508675
threshold_0.6_topk_final_5,r4,hotpotqa,0.620804,0.673637,0.640083,0.795,0.418653
threshold_0.6_topk_final_5,r4,ms_marco,0.697194,0.740235,0.513403,0.573816,0.272133
threshold_0.6_topk_final_5,r4,natural_questions,0.728283,0.779581,0.677083,0.802083,0.400275
threshold_0.6_topk_final_5,r4,triviaqa,0.797641,0.78583,0.832875,0.87,0.490103
threshold_0.6_topk_final_7,r1,hotpotqa,0.404479,0.475167,0.536529,0.53,0.32915
threshold_0.6_topk_final_7,r1,ms_marco,0.66895,0.779195,0.478352,0.54273,0.319465
threshold_0.6_topk_final_7,r1,natural_questions,0.652971,0.760118,0.628828,0.721458,0.352816
threshold_0.6_topk_final_7,r1,triviaqa,0.770918,0.753536,0.805816,0.845,0.499618
threshold_0.6_topk_final_7,r4,hotpotqa,0.537142,0.621453,0.590988,0.675,0.358641
threshold_0.6_topk_final_7,r4,ms_marco,0.69643,0.736568,0.493356,0.554082,0.289977
threshold_0.6_topk_final_7,r4,natural_questions,0.717855,0.789192,0.666774,0.826083,0.395928
threshold_0.6_topk_final_7,r4,triviaqa,0.783478,0.805343,0.830261,0.845,0.505971
threshold_0.7_topk_final_10,r1,hotpotqa,0.215544,0.384821,0.3525,0.31,0.191061
threshold_0.7_topk_final_10,r1,ms_marco,0.50219,0.655672,0.394458,0.407663,0.339477
threshold_0.7_topk_final_10,r1,natural_questions,0.438055,0.566032,0.43038,0.44875,0.266254
threshold_0.7_topk_final_10,r1,triviaqa,0.584249,0.638244,0.604447,0.615,0.406491
threshold_0.7_topk_final_10,r4,hotpotqa,0.329889,0.51319,0.449583,0.485,0.267994
threshold_0.7_topk_final_10,r4,ms_marco,0.621592,0.698515,0.44623,0.478015,0.306392
threshold_0.7_topk_final_10,r4,natural_questions,0.603323,0.7256,0.542901,0.66975,0.329511
threshold_0.7_topk_final_10,r4,triviaqa,0.75906,0.751407,0.778544,0.82,0.479681
threshold_0.7_topk_final_3,r1,hotpotqa,0.195682,0.365298,0.335,0.285,0.203046
threshold_0.7_topk_final_3,r1,ms_marco,0.507911,0.64772,0.394583,0.367292,0.357821
threshold_0.7_topk_final_3,r1,natural_questions,0.464551,0.605203,0.445,0.442569,0.263551
threshold_0.7_topk_final_3,r1,triviaqa,0.580894,0.635083,0.602917,0.625,0.393374
threshold_0.7_topk_final_3,r4,hotpotqa,0.337087,0.49,0.428333,0.48,0.273687
threshold_0.7_topk_final_3,r4,ms_marco,0.599874,0.6736,0.45625,0.442839,0.305277
threshold_0.7_topk_final_3,r4,natural_questions,0.600275,0.724265,0.594583,0.636667,0.331776
threshold_0.7_topk_final_3,r4,triviaqa,0.758228,0.720965,0.795833,0.8,0.447544
threshold_0.7_topk_final_5,r1,hotpotqa,0.213084,0.425641,0.325,0.295,0.206559
threshold_0.7_topk_final_5,r1,ms_marco,0.509765,0.632202,0.387278,0.394571,0.312868
threshold_0.7_topk_final_5,r1,natural_questions,0.447326,0.543122,0.416389,0.429861,0.265937
threshold_0.7_topk_final_5,r1,triviaqa,0.563387,0.63892,0.618549,0.635,0.364231
threshold_0.7_topk_final_5,r4,hotpotqa,0.34534,0.453928,0.455417,0.48,0.279808
threshold_0.7_topk_final_5,r4,ms_marco,0.603582,0.661825,0.44059,0.446042,0.280878
threshold_0.7_topk_final_5,r4,natural_questions,0.620355,0.711642,0.584319,0.6385,0.326242
threshold_0.7_topk_final_5,r4,triviaqa,0.740704,0.731155,0.779444,0.805,0.462006
threshold_0.7_topk_final_7,r1,hotpotqa,0.2276,0.394613,0.365,0.315,0.223491
threshold_0.7_topk_final_7,r1,ms_marco,0.532079,0.691042,0.412902,0.414792,0.331101
threshold_0.7_topk_final_7,r1,natural_questions,0.479309,0.580348,0.428979,0.434583,0.257805
threshold_0.7_topk_final_7,r1,triviaqa,0.564996,0.622839,0.606978,0.615,0.39036
threshold_0.7_topk_final_7,r4,hotpotqa,0.361944,0.498263,0.450417,0.495,0.289216
threshold_0.7_topk_final_7,r4,ms_marco,0.620292,0.66832,0.441305,0.467965,0.315322
threshold_0.7_topk_final_7,r4,natural_questions,0.60982,0.746968,0.566403,0.647083,0.328845
threshold_0.7_topk_final_7,r4,triviaqa,0.756664,0.735179,0.77378,0.805,0.46391
